MemoryType;BlockSize;ElementType;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read)
flash;52;int;13;chrono();10,1202032;8,38411473;6,2022052;1,73608847;20,7068787;0,0204942;0,01904945;2729,7376;0,00144475;7,58420847
flash;56;int;14;chrono();10,5372018;8,38411473;6,67929791;2,15308707;25,6805535;0,0248989;0,01904945;2939,71742;0,00584945;30,7066608
flash;60;int;15;chrono();11,9344483;8,38411473;7,15639062;3,55033357;42,3459564;0,0229049;0,01904945;3149,69724;0,00385545;20,239167
flash;64;int;16;chrono();12,3629934;8,38411473;7,63348333;3,97887867;47,45735;0,0210524;0,01904945;3359,67705;0,00200295;10,5144768
flash;68;int;17;chrono();12,7538495;8,38411473;8,11057603;4,36973477;52,1192149;0,0250066;0,01904945;3569,65687;0,00595715;31,2720315
flash;72;int;18;chrono();15,1467268;8,38411473;8,58766874;6,76261207;80,6598226;0,0243128;0,01904945;3779,63668;0,00526335;27,6299316
flash;76;int;19;chrono();14,5423164;8,38411473;9,06476145;6,15820167;73,4508278;0,029224;0,01904945;3989,6165;0,01017455;53,4112533
flash;80;int;20;chrono();14,8852184;8,38411473;9,54185416;6,50110367;77,5407289;0,0247917;0,01904945;4199,59631;0,00574225;30,1439149
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
MemoryType;BlockSize;ElementType;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
RAM;6.10351562e-05;int;1;chrono();4e-07;0.009012294;0.00677243288;0.009011894;99.9955616;2e-07;0.006457718;0.00945150535;0.006457518;99.9969029
RAM;0.3125;int;2;chrono();0.000218;0.009012294;34.6748564;0.008794294;97.581082;0.0002437;0.006457718;48.3917074;0.006214018;96.2262211
RAM;2;int;3;chrono();0.0019437;0.009012294;221.919081;0.007068594;78.4327941;0.0016204;0.006457718;309.706927;0.004837318;74.9075447
RAM;6;int;4;chrono();0.0036818;0.009012294;665.757242;0.005330494;59.1469164;0.003088;0.006457718;929.120782;0.003369718;52.1812504
RAM;30;int;5;chrono();0.0190353;0.009012294;3328.78621;0.010023006;111.214814;0.0143474;0.006457718;4645.60391;0.007889682;122.174459
RAM;2703327.87;int;6;chrono();4e-07;0.009012294;299960018;0.009011894;99.9955616;1e-07;0.006457718;418619685;0.006457618;99.9984515
RAM;2700742.2;int;7;chrono();0.0001748;0.009012294;299673113;0.008837494;98.0604272;0.0001476;0.006457718;418219284;0.006310118;97.7143629
RAM;95191659.7;int;8;chrono();0.0011418;0.009012294;1.05624228e+10;0.007870494;87.3306397;0.000932;0.006457718;1.47407582e+10;0.005525718;85.5676572
RAM;2700742.24;int;9;chrono();0.0034343;0.009012294;299673117;0.005577994;61.893165;0.0028633;0.006457718;418219290;0.003594418;55.6608077
RAM;2700742.21;int;10;chrono();0.0177751;0.009012294;299673114;0.008762806;97.2316926;0.0193734;0.006457718;418219285;0.012915682;200.003809
RAM;2700742.2;int;11;chrono();6e-07;0.009012294;299673113;0.009011694;99.9933424;2e-07;0.006457718;418219284;0.006457518;99.9969029
RAM;2700742.2;int;12;chrono();0.000394;0.009012294;299673113;0.008618294;95.6281941;0.0001663;0.006457718;418219284;0.006291418;97.4247869
RAM;2700742.2;int;13;chrono();0.0013033;0.009012294;299673113;0.007708994;85.5386431;0.0009649;0.006457718;418219284;0.005492818;85.0581893
RAM;2700742.2;int;14;chrono();0.0046857;0.009012294;299673113;0.004326594;48.0076882;0.0036632;0.006457718;418219284;0.002794518;43.2740792
RAM;2700742.2;int;15;chrono();0.0419726;0.009012294;299673113;0.032960306;365.72604;0.0174353;0.006457718;418219284;0.010977582;169.99166
RAM;2700742.2;int;16;chrono();5e-07;0.009012294;299673113;0.009011794;99.994452;1e-07;0.006457718;418219284;0.006457618;99.9984515
RAM;2700742.2;int;17;chrono();0.0003215;0.009012294;299673113;0.008690794;96.4326508;0.0008085;0.006457718;418219284;0.005649218;87.4800975
RAM;2700742.2;int;18;chrono();0.0014851;0.009012294;299673113;0.007527194;83.5213987;0.0009703;0.006457718;418219284;0.005487418;84.9745684
RAM;2700742.2;int;19;chrono();0.0040929;0.009012294;299673113;0.004919394;54.5853697;0.0034541;0.006457718;418219284;0.003003618;46.5120651
RAM;1.09960683e+12;int;20;chrono();0.0253246;0.009012294;1.22011868e+14;0.016312306;181.000598;0.0195354;0.006457718;1.70277926e+14;0.013077682;202.512436
RAM;2700742.22;int;21;chrono();7e-07;0.009012294;299673116;0.009011594;99.9922328;3e-07;0.006457718;418219288;0.006457418;99.9953544
RAM;2700742.21;int;22;chrono();0.0004013;0.009012294;299673115;0.008610994;95.5471936;0.0003084;0.006457718;418219286;0.006149318;95.2243192
RAM;-1.0391632e+12;int;23;chrono();0.0031065;0.009012294;-1.15305071e+14;0.005905794;65.5304188;0.0022108;0.006457718;-1.6091802e+14;0.004246918;65.7649962
RAM;3.08704556e+10;int;24;chrono();0.0189028;0.009012294;3.42537157e+12;0.009890506;109.7446;0.0035999;0.006457718;4.78039698e+12;0.002857818;44.2543016
RAM;1.90734863e-05;int;25;chrono();0.0468058;0.009012294;0.00211638528;0.037793506;419.355006;0.0284894;0.006457718;0.00295359542;0.022031682;341.168227
RAM;2700742.22;int;26;chrono();5e-07;0.009012294;299673116;0.009011794;99.994452;1e-07;0.006457718;418219288;0.006457618;99.9984515
RAM;-9.53674316e-07;int;27;chrono();0.0003304;0.009012294;-0.000105819264;0.008681894;96.3338968;0.0004888;0.006457718;-0.000147679771;0.005968918;92.4307627
RAM;2.6307072e+10;int;28;chrono();0.0136294;0.009012294;2.91902062e+12;0.004617106;51.231196;0.0014168;0.006457718;4.07374122e+12;0.005040918;78.0603613
RAM;3.08705608e+10;int;29;chrono();0.0152754;0.009012294;3.42538323e+12;0.006263106;69.4951363;0.0071749;0.006457718;4.78041326e+12;0.000717182;11.1058117
RAM;-7.28426431e+12;int;30;chrono();0.0344994;0.009012294;-8.0825862e+14;0.025487106;282.803757;0.0169994;0.006457718;-1.12799356e+15;0.010541682;163.241597
